Date,Data,Trend
2020/09/01,0.615621129,
2020/10/01,1.978917853,
2020/11/01,0.423451978,1.005996987
2020/12/01,2.756267298,1.71954571
2021/01/01,3.5,2.226573092
2021/02/01,4.768606724,3.674958007
2021/03/01,2.765224711,3.677943812
2021/04/01,0.09188434,2.541905258
2021/05/01,2.00783106,1.621646703
2021/06/01,2.833440323,1.644385241
2021/07/01,4.413603783,3.084958388
2021/08/01,4.611095254,3.95271312
2021/09/01,1.977590284,3.667429773
2021/10/01,2.819911458,3.136198999
2021/11/01,4.774153366,3.190551703
2021/12/01,0.773896046,2.78932029
2022/01/01,4.829025626,3.459025013
2022/02/01,0.043087826,1.882003166
2022/03/01,4.663906023,3.178673159
2022/04/01,0.752899785,1.819964545
2022/05/01,1.639413627,2.352073145
2022/06/01,0.578683668,0.99033236
2022/07/01,3.474677559,1.897591618
2022/08/01,3.169406676,2.407589301
2022/09/01,0.52871155,2.390931928
2022/10/01,2.619501298,2.105873175
2022/11/01,0.534712549,1.227641799
2022/12/01,3.184044518,2.112752788
2023/01/01,0.531756425,1.416837831
2023/02/01,2,1.905266981
2023/03/01,0.7,1.077252142
2023/04/01,4,2.233333333
2023/05/01,2.6,2.433333333
2023/06/01,1.9,2.833333333
